SurveyInstanceID,Survey,Title2,Title3,LocStoreID,SurveyDate,AuditorLogin,Client,Auditor,DataAvailableToClientTime,DataDeliveredToClientTime,Auditor,AuditorSubmitDelay,AuditorSubmitIdle,ValidationStartIdle,Validation,Validation,ExportDelay,First Assigned,Last Assigned,FirstValidator,FirstOkExportValidator,Validator Pay Rate,StartDate,Date,IsOverDue,isSurveyDateInBlackout,Last Export
15227,Персональные данные,,,PROFILE,2022-11-02,grethen999,_EXTENDED PROFILE,00:00:00,05:03:00,-98:15:45,00:00:00,,,,00:00:00,00:00:00,-98:20:48,,,jglotova,jglotova,0,,2022-11-02 06:48:00.000,,0,2022-07-26 15:03:00
15229,Персональные данные,,,PROFILE,2022-11-15,vmoroz,_EXTENDED PROFILE,00:01:00,-13:22:06,-19:23:20,00:00:00,,,,00:00:00,00:01:00,-06:01:14,,,jglotova,jglotova,0,,2022-11-15 16:07:00.000,,0,2022-07-26 15:03:00
15787,Персональные данные,,,PROFILE,2022-11-14,ttatayan,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-14 14:53:00.000,,0,2022-07-29 21:02:00
15894,Персональные данные,,,PROFILE,2022-11-10,mshapiro,_EXTENDED PROFILE,00:00:00,01:31:00,-100:23:30,00:00:00,,,,00:00:00,00:00:00,-101:01:01,,,jglotova,jglotova,0,,2022-11-10 08:31:00.000,,0,2022-08-01 09:01:00
17836,Персональные данные,,,PROFILE,2022-11-30,astrokan,_EXTENDED PROFILE,00:03:00,15:08:27,-06:18:38,00:00:00,,,,00:00:00,00:03:00,-22:03:05,,,jglotova,jglotova,0,,2022-11-30 14:15:00.000,,0,2022-08-09 15:01:00
18161,Персональные данные,,,PROFILE,2022-11-16,kiravolff,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-16 12:31:00.000,,0,2022-08-10 15:01:00
18248,Персональные данные,,,PROFILE,2022-11-21,lbahteev1,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-21 08:33:00.000,,0,2022-08-11 21:02:00
18386,Персональные данные,,,PROFILE,2022-11-03,gsalyamo,_EXTENDED PROFILE,00:03:00,01:23:23,02:51:00,00:00:00,,,,00:00:00,00:03:00,-01:20:32,,,jglotova,jglotova,0,,2022-11-03 18:40:00.000,,0,2022-08-16 15:02:00
19011,Персональные данные,,,PROFILE,2022-11-30,nvinniko,_EXTENDED PROFILE,00:02:00,-06:16:22,-16:12:37,00:01:00,,,,00:01:00,00:02:00,-09:20:15,,,jglotova,jglotova,0,,2022-11-30 10:33:00.000,,0,2022-08-19 21:01:00
19046,Персональные данные,,,PROFILE,2022-11-08,nkoptsev,_EXTENDED PROFILE,00:04:00,08:04:36,01:39:00,00:00:00,,,,00:00:00,00:04:00,-08:02:57,,,jglotova,jglotova,0,,2022-11-08 15:34:00.000,,0,2022-08-21 15:01:00
19064,Персональные данные,,,PROFILE,2022-11-06,etutov,_EXTENDED PROFILE,00:02:00,04:05:17,-52:02:10,00:00:00,,,,00:00:00,00:02:00,-56:07:27,,,jglotova,jglotova,0,,2022-11-06 17:22:00.000,,0,2022-08-22 09:00:00
19073,Персональные данные,,,PROFILE,2022-11-10,stas.vdovenko.84,_EXTENDED PROFILE,00:03:00,23:06:14,-79:19:09,00:00:00,,,,00:00:00,00:03:00,-103:01:23,,,orepina,orepina,0,,2022-11-10 10:10:00.000,,0,2022-08-22 15:01:00
19157,Персональные данные,,,PROFILE,2022-11-06,Malishka.9209,_EXTENDED PROFILE,00:02:00,04:09:12,-01:17:02,00:00:00,,,,00:00:00,00:02:00,-06:02:14,,,jglotova,jglotova,0,,2022-11-06 05:33:00.000,,0,2022-08-23 15:02:00
19171,Персональные данные,,,PROFILE,2022-11-26,ocharovanie999,_EXTENDED PROFILE,00:01:00,02:07:03,-03:12:35,00:00:00,,,,00:00:00,00:01:00,-05:19:38,,,jglotova,jglotova,0,,2022-11-26 08:12:00.000,,0,2022-08-23 21:02:00
19421,Персональные данные,,,PROFILE,2022-11-17,Za123456,_EXTENDED PROFILE,00:03:00,-03:50:00,-02:23:39,00:00:00,,,,00:00:00,00:03:00,-02:19:49,,,jglotova,jglotova,0,,2022-11-17 14:43:00.000,,0,2022-08-26 21:02:00
19465,Персональные данные,,,PROFILE,2022-11-02,pkarveno,_EXTENDED PROFILE,00:01:00,31:02:47,-67:03:45,00:00:00,,,,00:00:00,00:01:00,-98:06:32,,,orepina,orepina,0,,2022-11-02 12:48:00.000,,0,2022-08-27 09:03:00
19666,Банк Уралсиб АССО,,,1194,2022-11-01,fterenta,Банк Уралсиб Аудит,02:11:00,06:16:46,30:05:48,01:39:00,18:28:00,-29:11:32,03:10:00,00:58:00,01:02:00,23:13:02,aglushte,kzaryano,nzaitsev,nzaitsev,0,2022-10-31 01:00:00.000,2022-11-01 14:43:00.000,,0,2022-12-01 20:31:00
19676,Банк Уралсиб АССО,,,1160,2022-11-03,olisunov,Банк Уралсиб Аудит,10:10:18,06:22:09,28:09:53,10:09:36,04:00:01,-24:10:11,22:53:00,10:09:35,10:10:17,21:11:44,aglushte,aglushte,omirilov,omirilov,0,2022-11-06 22:00:00.000,2022-11-03 10:38:00.000,,0,2022-12-01 20:31:00
19689,Банк Уралсиб АССО,,,1197,2022-11-01,bushchenkoa,Банк Уралсиб Аудит,02:08:00,05:20:58,30:07:11,01:04:00,01:42:00,-30:05:28,05:03:41,01:04:00,02:08:00,24:10:13,aglushte,aglushte,omirilov,omirilov,0,2022-10-26 22:00:00.000,2022-11-01 13:20:00.000,,0,2022-12-01 20:31:00
19691,Банк Уралсиб АССО,,,1188,2022-11-07,afina-natali,Банк Уралсиб Аудит,02:29:00,02:11:29,24:07:16,01:19:00,04:17:00,-24:02:59,01:09:55,01:19:00,02:29:00,21:19:47,aglushte,aglushte,omirilov,ebelokur,0,2022-11-02 22:00:00.000,2022-11-07 13:15:00.000,,0,2022-12-01 20:31:00
19692,Банк Уралсиб АССО,,,1189,2022-11-03,afina-natali,Банк Уралсиб Аудит,01:27:00,05:10:39,28:06:11,00:35:00,03:17:59,-24:12:12,19:18:00,00:35:00,01:27:00,22:19:32,aglushte,aglushte,omirilov,ebelokur,0,2022-11-02 22:00:00.000,2022-11-03 14:20:00.000,,0,2022-12-01 20:31:00
19694,Банк Уралсиб АССО,,,1199,2022-11-01,ElenaShv,Банк Уралсиб Аудит,00:35:00,05:22:36,30:09:21,00:31:00,02:03:45,-28:17:17,12:36:00,00:31:00,00:34:00,24:10:45,aglushte,aglushte,omirilov,omirilov,0,2022-11-01 22:00:00.000,2022-11-01 11:10:00.000,,0,2022-12-01 20:31:00
19779,Банк Уралсиб АССО,,,1065,2022-11-03,ekuzhele,Банк Уралсиб Аудит,03:19:00,10:27:00,28:10:42,02:01:00,08:59:00,-01:28:00,01:28:00,00:18:00,00:18:00,28:00:15,mbolasha,mbolasha,nzaitsev,nzaitsev,0,2022-09-01 00:00:00.000,2022-11-03 09:49:00.000,,0,2022-12-01 20:31:00
19782,Банк Уралсиб АССО,,,1212,2022-11-01,Svetlanaanikeeva,Банк Уралсиб Аудит,01:45:00,07:01:45,30:07:16,01:04:00,05:20:07,-01:05:39,07:50:00,01:04:00,01:45:00,23:05:31,kzaryano,aglushte,omirilov,omirilov,0,2022-09-21 00:00:00.000,2022-11-01 13:15:00.000,,0,2022-12-01 20:31:00
19791,Банк Уралсиб АССО,,,1097,2022-11-07,mpogrebn,Банк Уралсиб Аудит,01:34:00,01:15:48,24:11:21,01:09:00,06:41:00,-02:17:43,02:33:00,00:37:00,00:39:00,22:19:33,aglushte,mbolasha,omirilov,ebelokur,0,2022-10-16 22:00:00.000,2022-11-07 09:10:00.000,,0,2022-12-01 20:31:00
19792,Банк Уралсиб АССО,,,1098,2022-11-02,diadema7,Банк Уралсиб Аудит,03:18:00,01:14:57,29:07:12,01:37:00,01:01:33,-13:24:00,13:12:00,00:40:00,00:43:00,27:16:15,kzaryano,kzaryano,omirilov,omirilov,0,2022-11-02 01:00:00.000,2022-11-02 13:19:00.000,,0,2022-12-01 20:31:00
19794,Банк Уралсиб АССО,,,1100,2022-11-10,roz.kurbanowa2010,Банк Уралсиб Аудит,01:02:00,22:29:00,21:06:41,00:33:00,04:45:00,-17:44:00,08:30:00,00:33:00,01:02:00,20:08:12,aglushte,ebelokur,omirilov,ebelokur,0,2022-10-16 22:00:00.000,2022-11-10 13:50:00.000,,0,2022-12-01 20:31:00
19795,Банк Уралсиб АССО,,,1101,2022-11-14,roz.kurbanowa2010,Банк Уралсиб Аудит,00:33:00,20:57:00,17:08:16,00:25:00,05:28:00,-08:18:36,08:35:00,00:25:00,00:33:00,16:11:19,aglushte,aglushte,omirilov,ebelokur,0,2022-10-24 22:00:00.000,2022-11-14 12:15:00.000,,0,2022-12-01 20:31:00
19798,Банк Уралсиб АССО,,,1104,2022-11-03,ollive7,Банк Уралсиб Аудит,00:56:00,05:13:24,28:08:56,00:38:00,03:20:34,-01:16:50,01:06:40,00:37:00,00:56:00,22:19:32,aglushte,aglushte,kkolesni,ebelokur,0,2022-10-22 22:00:00.000,2022-11-03 11:35:00.000,,0,2022-12-01 20:31:00
19803,Банк Уралсиб АССО,,,1109,2022-11-02,ollive7,Банк Уралсиб Аудит,01:23:00,06:19:57,29:08:11,00:49:00,04:19:49,-04:03:55,02:00:08,00:49:00,01:23:00,22:12:14,aglushte,aglushte,nzaitsev,nzaitsev,0,2022-10-22 22:00:00.000,2022-11-02 12:20:00.000,,0,2022-12-01 20:31:00
19821,Банк Уралсиб АССО,,,1209,2022-11-03,glazunova5072,Банк Уралсиб Аудит,00:47:00,05:09:53,28:05:22,00:34:00,03:17:53,-24:02:33,17:43:00,00:34:00,00:47:00,22:19:29,aglushte,aglushte,omirilov,ebelokur,0,2022-10-31 22:00:00.000,2022-11-03 15:09:00.000,,0,2022-12-01 20:31:00
19822,Банк Уралсиб АССО,,,1218,2022-11-07,yaleeva,Банк Уралсиб Аудит,00:25:00,02:12:43,24:08:31,00:21:00,22:28:00,-01:14:15,12:05:00,00:21:00,00:23:00,21:19:48,kzaryano,kzaryano,kkolesni,ebelokur,0,2022-11-02 01:00:00.000,2022-11-07 12:00:00.000,,0,2022-12-01 20:31:00
19834,Банк Уралсиб АССО,,,1175,2022-11-07,vmitina,Банк Уралсиб Аудит,00:51:00,01:12:46,24:08:20,00:35:00,01:31:00,-24:23:51,09:12:00,00:35:00,00:51:00,22:19:34,kzaryano,kzaryano,kkolesni,ebelokur,0,2022-11-02 01:00:00.000,2022-11-07 12:11:00.000,,0,2022-12-01 20:31:00
21059,Персональные данные,,,PROFILE,2022-11-30,svetikt52,_EXTENDED PROFILE,00:03:00,04:21:27,-01:58:00,00:00:00,,,,00:00:00,00:03:00,-04:23:25,,,jglotova,jglotova,0,,2022-11-30 20:35:00.000,,0,2022-08-31 15:02:00
21070,Персональные данные,,,PROFILE,2022-11-22,mdolgih,_EXTENDED PROFILE,00:02:00,05:46:00,03:39:00,00:00:00,,,,00:00:00,00:02:00,-02:07:00,,,jglotova,jglotova,0,,2022-11-22 08:53:00.000,,0,2022-08-31 15:02:00
21546,Персональные данные,,,PROFILE,2022-11-28,gosteva2001,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-28 14:08:00.000,,0,2022-09-01 21:02:00
21561,Персональные данные,,,PROFILE,2022-11-29,vporxun,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-29 08:09:00.000,,0,2022-09-02 15:02:00
22142,Персональные данные,,,PROFILE,2022-11-01,akondrat,_EXTENDED PROFILE,00:01:00,22:48:00,-57:22:03,00:00:00,,,,00:00:00,00:01:00,-58:20:51,,,jglotova,jglotova,0,,2022-11-01 13:04:00.000,,0,2022-09-04 15:01:00
22181,Персональные данные,,,PROFILE,2022-11-06,edemidov10,_EXTENDED PROFILE,00:00:00,,,00:00:00,,,,,,,,,,,0,,2022-11-06 15:17:00.000,,0,2022-09-05 15:02:00
22528,Персональные данные,,,PROFILE,2022-11-06,axeltag,_EXTENDED PROFILE,00:08:00,-52:19:27,-61:12:59,00:03:00,,,,00:03:00,00:08:00,-08:17:32,,,jglotova,jglotova,0,,2022-11-06 10:01:00.000,,0,2022-09-05 21:02:00
22530,Анкета 3_Расторжение Коми,,,10002,2022-11-03,leoarts,Энергосбыт,00:53:00,06:22:30,06:22:31,00:47:00,01:07:00,-25:15:08,05:13:35,00:37:00,00:42:00,00:01:00,abaraban,abaraban,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-03 16:43:00.000,,0,2022-11-10 15:21:00
22535,Анкета 1_Передача показаний Коми,,,10007,2022-11-10,abaraban,Энергосбыт,00:24:00,03:20:26,03:20:27,00:23:00,03:17:38,-14:05:07,01:48:00,00:23:00,00:24:00,00:01:00,obaturo,obaturo,tkayakin,abaraban,0,2022-09-05 00:00:00.000,2022-11-10 16:21:00.000,,0,2022-11-14 12:54:00
22539,Анкета 2_Консультация о задолженности-оплате Коми,,,10011,2022-11-17,abaraban,Энергосбыт,00:54:00,18:44:00,18:45:00,00:52:00,16:40:00,-12:02:20,01:54:00,00:32:00,00:34:00,00:01:00,abaraban,abaraban,nmarchen,abaraban,0,2022-09-05 00:00:00.000,2022-11-17 16:59:00.000,,0,2022-11-18 11:44:00
22540,Анкета 4_Открытие Коми,,,10012,,,Энергосбыт,,,,,,,,,,,obaturo,obaturo,,,0,2022-09-05 00:00:00.000,,N,0,
22541,Анкета 1_Передача показаний Коми,,,10013,2022-11-11,gvalera72,Энергосбыт,00:54:00,03:00:01,03:00:02,00:34:00,05:07:00,-16:20:16,16:06:00,00:31:00,00:40:00,00:01:00,skazaros,skazaros,tkayakin,abaraban,0,2022-09-05 00:00:00.000,2022-11-11 13:38:00.000,,0,2022-11-14 13:52:00
22542,Анкета 2_Консультация о задолженности-оплате Коми,,,10014,2022-11-10,abaraban,Энергосбыт,00:22:00,03:20:28,03:20:29,00:21:00,03:17:43,-16:01:34,01:03:00,00:21:00,00:22:00,00:01:00,obaturo,obaturo,tkayakin,abaraban,0,2022-09-05 00:00:00.000,2022-11-10 16:25:00.000,,0,2022-11-14 12:54:00
22544,Анкета 2_Консультация о задолженности-оплате Коми,,,10016,2022-11-17,apotapen,Энергосбыт,00:17:00,23:15:00,23:16:00,00:12:00,08:32:00,-12:17:51,13:13:00,00:09:00,00:10:00,00:01:00,abaraban,abaraban,lisa_ster,abaraban,0,2022-09-05 00:00:00.000,2022-11-17 12:00:00.000,,0,2022-11-18 11:16:00
22547,Анкета 4_Открытие Коми,,,10019,2022-11-11,abaraban,Энергосбыт,00:47:00,02:22:24,02:22:24,00:41:00,06:59:00,-18:19:59,01:26:00,00:41:00,00:47:00,00:00:00,abaraban,obaturo,mserguni,abaraban,0,2022-09-05 00:00:00.000,2022-11-11 11:21:00.000,,0,2022-11-14 09:50:00
22549,Анкета 1_Передача показаний Коми,,,10021,2022-11-10,rulevskay,Энергосбыт,00:38:00,02:21:47,02:21:47,00:35:00,01:06:32,-16:20:14,16:38:00,00:35:00,00:37:00,00:00:00,skazaros,skazaros,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-10 12:30:00.000,,0,2022-11-13 10:22:00
22553,Анкета 3_Расторжение,,,10025,,,Энергосбыт,,,,,,,,,,,abaraban,skazaros,,,0,2022-09-05 00:00:00.000,,N,0,
22599,Анкета 4_Открытие,,,10071,2022-11-07,mshishki,Энергосбыт,00:47:00,03:05:44,03:05:44,00:44:00,13:08:00,-15:13:39,02:16:15,00:28:00,00:29:00,00:00:00,igrigora,igrigora,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-07 10:28:00.000,,0,2022-11-10 16:19:00
22601,Анкета 4_Открытие,,,10073,,,Энергосбыт,,,,,,,,,,,,,,,0,2022-09-05 00:00:00.000,,N,0,
22617,Анкета 3_Расторжение,,,10089,2022-11-11,Gusha87,Энергосбыт,00:41:00,05:27:00,05:29:00,00:22:00,04:18:00,-13:21:16,00:44:00,00:22:00,00:37:00,00:02:00,skazaros,skazaros,mserguni,obaturo,0,2022-09-05 00:00:00.000,2022-11-11 14:38:00.000,,0,2022-11-11 20:18:00
22669,Анкета 1_Передача показаний,,,10141,2022-11-07,nzhilov,Энергосбыт,01:14:00,03:00:18,03:00:20,01:11:00,07:29:00,-17:17:38,02:11:12,00:43:00,00:44:00,00:02:00,abaraban,abaraban,nmarchen,obaturo,0,2022-09-05 00:00:00.000,2022-11-07 14:59:00.000,,0,2022-11-10 15:25:00
22675,Анкета 4_Открытие,,,10147,2022-11-01,oramshin1,Энергосбыт,00:51:00,07:22:43,07:22:43,00:49:00,-05:19:06,-30:00:11,13:11:04,00:27:00,00:27:00,00:00:00,abaraban,abaraban,nmarchen,obaturo,0,2022-09-05 00:00:00.000,2022-11-01 11:24:00.000,,0,2022-11-09 10:14:00
22676,Анкета 2_Консультация о задолженности-оплате,,,10148,2022-11-10,ostorozhnay,Энергосбыт,00:39:00,03:07:00,03:08:00,00:37:00,01:20:00,-01:47:00,01:07:00,00:12:00,00:14:00,00:01:00,skazaros,skazaros,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-10 13:09:00.000,,0,2022-11-10 16:19:00
22681,Анкета 4_Открытие,,,10153,2022-11-11,Bestpresent31,Энергосбыт,01:19:00,01:18:43,01:18:43,00:35:00,01:06:12,-12:31:00,00:03:00,00:17:00,00:30:00,00:00:00,abaraban,skazaros,mserguni,obaturo,0,2022-09-05 00:00:00.000,2022-11-11 15:19:00.000,,0,2022-11-13 10:22:00
22688,Анкета 3_Расторжение,,,10160,2022-11-11,rozapachina,Энергосбыт,01:00:00,01:19:24,01:19:24,00:46:00,01:58:00,-09:19:58,21:18:00,00:28:00,00:32:00,00:00:00,skazaros,skazaros,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-11 14:45:00.000,,0,2022-11-13 10:22:00
22695,Анкета 3_Расторжение,,,10167,2022-11-10,oshihtor,Энергосбыт,00:42:00,18:39:00,18:39:00,00:37:00,02:48:00,-10:18:06,04:50:00,00:25:00,00:29:00,00:00:00,skazaros,skazaros,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-10 15:57:00.000,,0,2022-11-11 10:41:00
22704,Анкета 3_Расторжение,,,10176,2022-11-10,oshihtor,Энергосбыт,01:02:00,04:07:00,04:09:00,00:46:00,02:59:00,-10:18:57,00:48:00,00:22:00,00:36:00,00:02:00,skazaros,skazaros,mserguni,obaturo,0,2022-09-05 00:00:00.000,2022-11-10 15:03:00.000,,0,2022-11-10 19:17:00
22708,Анкета 3_Расторжение,,,10180,,,Энергосбыт,,,,,,,,,,,abaraban,abaraban,,,0,2022-09-05 00:00:00.000,,N,0,
22724,Анкета 1_Передача показаний,,,10196,2022-11-09,abrazhni,Энергосбыт,00:57:00,01:01:50,01:01:52,00:46:00,-00:20:00,-07:06:45,01:01:47,00:21:00,00:30:00,00:02:00,abaraban,skazaros,tkayakin,obaturo,0,2022-09-05 00:00:00.000,2022-11-09 13:26:00.000,,0,2022-11-10 15:23:00
22730,Анкета 3_Расторжение,,,10202,,,Энергосбыт,,,,,,,,,,,,,,,0,2022-09-05 00:00:00.000,,N,0,
